-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2024,331,29.79
-18.5,-62.5,2024,331,29.23
-17.5,-63.5,2024,331,29.07
-17.5,-62.5,2024,331,28.78
-16.5,-63.5,2024,331,28.65
-16.5,-62.5,2024,331,28.73
-18.5,-63.5,2024,332,29.1
-18.5,-62.5,2024,332,28.9
-17.5,-63.5,2024,332,28.6
-17.5,-62.5,2024,332,28.43
-16.5,-63.5,2024,332,27.98
-16.5,-62.5,2024,332,27.99
-18.5,-63.5,2024,333,29.3
-18.5,-62.5,2024,333,28.53
-17.5,-63.5,2024,333,28.58
-17.5,-62.5,2024,333,28.05
-16.5,-63.5,2024,333,27.71
-16.5,-62.5,2024,333,27.35
-18.5,-63.5,2024,334,29.23
-18.5,-62.5,2024,334,28.01
-17.5,-63.5,2024,334,28.61
-17.5,-62.5,2024,334,27.65
-16.5,-63.5,2024,334,27.55
-16.5,-62.5,2024,334,27.05
-18.5,-63.5,2024,335,28.61
-18.5,-62.5,2024,335,27.0
-17.5,-63.5,2024,335,28.03
-17.5,-62.5,2024,335,26.73
-16.5,-63.5,2024,335,27.36
-16.5,-62.5,2024,335,26.67
-18.5,-63.5,2024,336,29.12
-18.5,-62.5,2024,336,27.93
-17.5,-63.5,2024,336,28.46
-17.5,-62.5,2024,336,27.59
-16.5,-63.5,2024,336,27.65
-16.5,-62.5,2024,336,27.31
-18.5,-63.5,2024,337,28.67
-18.5,-62.5,2024,337,27.7
-17.5,-63.5,2024,337,28.1
-17.5,-62.5,2024,337,27.43
-16.5,-63.5,2024,337,27.14
-16.5,-62.5,2024,337,27.22
-18.5,-63.5,2024,338,28.95
-18.5,-62.5,2024,338,27.67
-17.5,-63.5,2024,338,28.31
-17.5,-62.5,2024,338,27.18
-16.5,-63.5,2024,338,26.9
-16.5,-62.5,2024,338,26.59
-18.5,-63.5,2024,339,29.16
-18.5,-62.5,2024,339,28.07
-17.5,-63.5,2024,339,28.69
-17.5,-62.5,2024,339,27.86
-16.5,-63.5,2024,339,27.34
-16.5,-62.5,2024,339,27.56
-18.5,-63.5,2024,340,28.99
-18.5,-62.5,2024,340,28.39
-17.5,-63.5,2024,340,28.39
-17.5,-62.5,2024,340,28.04
-16.5,-63.5,2024,340,27.16
-16.5,-62.5,2024,340,27.75
-18.5,-63.5,2024,341,29.01
-18.5,-62.5,2024,341,28.62
-17.5,-63.5,2024,341,28.39
-17.5,-62.5,2024,341,28.19
-16.5,-63.5,2024,341,27.53
-16.5,-62.5,2024,341,28.08
-18.5,-63.5,2024,342,28.35
-18.5,-62.5,2024,342,28.04
-17.5,-63.5,2024,342,27.74
-17.5,-62.5,2024,342,27.74
-16.5,-63.5,2024,342,27.22
-16.5,-62.5,2024,342,28.19
-18.5,-63.5,2024,343,29.01
-18.5,-62.5,2024,343,28.55
-17.5,-63.5,2024,343,28.34
-17.5,-62.5,2024,343,28.07
-16.5,-63.5,2024,343,27.67
-16.5,-62.5,2024,343,28.54
-18.5,-63.5,2024,344,29.45
-18.5,-62.5,2024,344,29.13
-17.5,-63.5,2024,344,28.62
-17.5,-62.5,2024,344,28.74
-16.5,-63.5,2024,344,28.19
-16.5,-62.5,2024,344,28.53
-18.5,-63.5,2024,345,29.2
-18.5,-62.5,2024,345,28.68
-17.5,-63.5,2024,345,28.54
-17.5,-62.5,2024,345,28.34
-16.5,-63.5,2024,345,28.36
-16.5,-62.5,2024,345,28.52
-18.5,-63.5,2024,346,29.61
-18.5,-62.5,2024,346,29.14
-17.5,-63.5,2024,346,28.93
-17.5,-62.5,2024,346,28.77
-16.5,-63.5,2024,346,28.75
-16.5,-62.5,2024,346,28.86
