-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-16.35,-64.3,2024,357,-999.0
-16.35,-62.23,2024,357,-999.0
-18.73,-64.3,2024,358,-999.0
-18.73,-62.23,2024,358,-999.0
-16.35,-64.3,2024,358,-999.0
-16.35,-62.23,2024,358,-999.0
-18.73,-64.3,2024,359,-999.0
-18.73,-62.23,2024,359,-999.0
-16.35,-64.3,2024,359,-999.0
-16.35,-62.23,2024,359,-999.0
-18.73,-64.3,2024,360,-999.0
-18.73,-62.23,2024,360,-999.0
-16.35,-64.3,2024,360,-999.0
-16.35,-62.23,2024,360,-999.0
-18.73,-64.3,2024,361,-999.0
-18.73,-62.23,2024,361,-999.0
-16.35,-64.3,2024,361,-999.0
-16.35,-62.23,2024,361,-999.0
-18.73,-64.3,2024,362,-999.0
-18.73,-62.23,2024,362,-999.0
-16.35,-64.3,2024,362,-999.0
-16.35,-62.23,2024,362,-999.0
-18.73,-64.3,2024,363,-999.0
-18.73,-62.23,2024,363,-999.0
-16.35,-64.3,2024,363,-999.0
-16.35,-62.23,2024,363,-999.0
-18.73,-64.3,2024,364,-999.0
-18.73,-62.23,2024,364,-999.0
-16.35,-64.3,2024,364,-999.0
-16.35,-62.23,2024,364,-999.0
-18.73,-64.3,2024,365,-999.0
-18.73,-62.23,2024,365,-999.0
-16.35,-64.3,2024,365,-999.0
-16.35,-62.23,2024,365,-999.0
-18.73,-64.3,2024,366,-999.0
-18.73,-62.23,2024,366,-999.0
-16.35,-64.3,2024,366,-999.0
-16.35,-62.23,2024,366,-999.0
-18.73,-64.3,2025,1,-999.0
-18.73,-62.23,2025,1,-999.0
-16.35,-64.3,2025,1,-999.0
-16.35,-62.23,2025,1,-999.0
-18.73,-64.3,2025,2,-999.0
-18.73,-62.23,2025,2,-999.0
-16.35,-64.3,2025,2,-999.0
-16.35,-62.23,2025,2,-999.0
-18.73,-64.3,2025,3,-999.0
-18.73,-62.23,2025,3,-999.0
-16.35,-64.3,2025,3,-999.0
-16.35,-62.23,2025,3,-999.0
-18.73,-64.3,2025,4,-999.0
-18.73,-62.23,2025,4,-999.0
-16.35,-64.3,2025,4,-999.0
-16.35,-62.23,2025,4,-999.0
