-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2023,343,29.88
-18.5,-62.5,2023,343,29.24
-17.5,-63.5,2023,343,29.18
-17.5,-62.5,2023,343,28.72
-16.5,-63.5,2023,343,28.68
-16.5,-62.5,2023,343,28.57
-18.5,-63.5,2023,344,29.44
-18.5,-62.5,2023,344,28.8
-17.5,-63.5,2023,344,28.67
-17.5,-62.5,2023,344,28.28
-16.5,-63.5,2023,344,28.76
-16.5,-62.5,2023,344,28.36
-18.5,-63.5,2023,345,29.63
-18.5,-62.5,2023,345,29.41
-17.5,-63.5,2023,345,28.99
-17.5,-62.5,2023,345,28.85
-16.5,-63.5,2023,345,27.91
-16.5,-62.5,2023,345,28.18
-18.5,-63.5,2023,346,30.13
-18.5,-62.5,2023,346,29.36
-17.5,-63.5,2023,346,29.24
-17.5,-62.5,2023,346,28.7
-16.5,-63.5,2023,346,28.19
-16.5,-62.5,2023,346,28.17
-18.5,-63.5,2023,347,30.03
-18.5,-62.5,2023,347,29.39
-17.5,-63.5,2023,347,29.37
-17.5,-62.5,2023,347,28.75
-16.5,-63.5,2023,347,28.22
-16.5,-62.5,2023,347,28.71
-18.5,-63.5,2023,348,29.38
-18.5,-62.5,2023,348,29.2
-17.5,-63.5,2023,348,28.93
-17.5,-62.5,2023,348,28.68
-16.5,-63.5,2023,348,27.98
-16.5,-62.5,2023,348,28.53
-18.5,-63.5,2023,349,29.22
-18.5,-62.5,2023,349,28.73
-17.5,-63.5,2023,349,28.54
-17.5,-62.5,2023,349,28.25
-16.5,-63.5,2023,349,27.56
-16.5,-62.5,2023,349,28.3
-18.5,-63.5,2023,350,29.34
-18.5,-62.5,2023,350,28.82
-17.5,-63.5,2023,350,28.62
-17.5,-62.5,2023,350,28.34
-16.5,-63.5,2023,350,27.93
-16.5,-62.5,2023,350,28.41
-18.5,-63.5,2023,351,29.66
-18.5,-62.5,2023,351,29.16
-17.5,-63.5,2023,351,29.0
-17.5,-62.5,2023,351,28.66
-16.5,-63.5,2023,351,28.26
-16.5,-62.5,2023,351,28.61
-18.5,-63.5,2023,352,29.42
-18.5,-62.5,2023,352,29.18
-17.5,-63.5,2023,352,28.88
-17.5,-62.5,2023,352,28.68
-16.5,-63.5,2023,352,28.69
-16.5,-62.5,2023,352,28.68
-18.5,-63.5,2023,353,29.76
-18.5,-62.5,2023,353,28.71
-17.5,-63.5,2023,353,29.18
-17.5,-62.5,2023,353,28.34
-16.5,-63.5,2023,353,28.19
-16.5,-62.5,2023,353,28.53
-18.5,-63.5,2023,354,29.12
-18.5,-62.5,2023,354,27.65
-17.5,-63.5,2023,354,28.39
-17.5,-62.5,2023,354,27.22
-16.5,-63.5,2023,354,27.63
-16.5,-62.5,2023,354,27.49
-18.5,-63.5,2023,355,28.17
-18.5,-62.5,2023,355,27.96
-17.5,-63.5,2023,355,27.48
-17.5,-62.5,2023,355,27.58
-16.5,-63.5,2023,355,26.81
-16.5,-62.5,2023,355,27.2
