-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-16.5,-63.5,2023,342,15.06
-16.5,-62.5,2023,342,14.14
-18.5,-63.5,2023,343,29.01
-18.5,-62.5,2023,343,28.62
-17.5,-63.5,2023,343,27.24
-17.5,-62.5,2023,343,28.2
-16.5,-63.5,2023,343,27.0
-16.5,-62.5,2023,343,27.65
-18.5,-63.5,2023,344,19.8
-18.5,-62.5,2023,344,23.72
-17.5,-63.5,2023,344,25.48
-17.5,-62.5,2023,344,24.54
-16.5,-63.5,2023,344,26.04
-16.5,-62.5,2023,344,24.94
-18.5,-63.5,2023,345,23.66
-18.5,-62.5,2023,345,22.06
-17.5,-63.5,2023,345,23.39
-17.5,-62.5,2023,345,19.24
-16.5,-63.5,2023,345,19.1
-16.5,-62.5,2023,345,17.59
-18.5,-63.5,2023,346,29.1
-18.5,-62.5,2023,346,26.87
-17.5,-63.5,2023,346,25.98
-17.5,-62.5,2023,346,23.48
-16.5,-63.5,2023,346,23.67
-16.5,-62.5,2023,346,21.17
-18.5,-63.5,2023,347,25.42
-18.5,-62.5,2023,347,25.25
-17.5,-63.5,2023,347,22.43
-17.5,-62.5,2023,347,24.68
-16.5,-63.5,2023,347,22.69
-16.5,-62.5,2023,347,24.43
-18.5,-63.5,2023,348,22.22
-18.5,-62.5,2023,348,22.6
-17.5,-63.5,2023,348,19.48
-17.5,-62.5,2023,348,21.59
-16.5,-63.5,2023,348,18.36
-16.5,-62.5,2023,348,21.88
-18.5,-63.5,2023,349,21.94
-18.5,-62.5,2023,349,19.52
-17.5,-63.5,2023,349,18.37
-17.5,-62.5,2023,349,17.77
-16.5,-63.5,2023,349,14.8
-16.5,-62.5,2023,349,18.31
-18.5,-63.5,2023,350,26.46
-18.5,-62.5,2023,350,24.12
-17.5,-63.5,2023,350,22.42
-17.5,-62.5,2023,350,22.67
-16.5,-63.5,2023,350,20.86
-16.5,-62.5,2023,350,23.34
-18.5,-63.5,2023,351,27.47
-18.5,-62.5,2023,351,26.36
-17.5,-63.5,2023,351,23.54
-17.5,-62.5,2023,351,24.77
-16.5,-63.5,2023,351,24.6
-16.5,-62.5,2023,351,24.62
-18.5,-63.5,2023,352,23.84
-18.5,-62.5,2023,352,26.15
-17.5,-63.5,2023,352,21.81
-17.5,-62.5,2023,352,24.86
-16.5,-63.5,2023,352,25.37
-16.5,-62.5,2023,352,25.59
-18.5,-63.5,2023,353,10.48
-18.5,-62.5,2023,353,7.24
-17.5,-63.5,2023,353,9.3
-17.5,-62.5,2023,353,8.74
-16.5,-63.5,2023,353,15.02
-16.5,-62.5,2023,353,17.8
-18.5,-63.5,2023,354,18.56
-18.5,-62.5,2023,354,21.58
-17.5,-63.5,2023,354,24.08
-17.5,-62.5,2023,354,21.96
-16.5,-63.5,2023,354,22.97
-16.5,-62.5,2023,354,22.69
-18.5,-63.5,2023,355,18.45
-18.5,-62.5,2023,355,20.34
-17.5,-63.5,2023,355,19.29
-17.5,-62.5,2023,355,18.22
-16.5,-63.5,2023,355,17.36
-16.5,-62.5,2023,355,14.91
-18.5,-63.5,2023,356,23.7
-18.5,-62.5,2023,356,23.98
-17.5,-63.5,2023,356,22.01
-17.5,-62.5,2023,356,21.3
-16.5,-63.5,2023,356,20.98
-16.5,-62.5,2023,356,20.71
-18.5,-63.5,2023,357,23.32
-18.5,-62.5,2023,357,22.73
-17.5,-63.5,2023,357,19.61
-17.5,-62.5,2023,357,21.22
-16.5,-63.5,2023,357,18.36
-16.5,-62.5,2023,357,19.86
-18.5,-63.5,2023,358,28.75
-18.5,-62.5,2023,358,25.74
-17.5,-63.5,2023,358,20.71
-17.5,-62.5,2023,358,22.26
-16.5,-63.5,2023,358,19.5
-16.5,-62.5,2023,358,20.95
-18.5,-63.5,2023,359,24.73
-18.5,-62.5,2023,359,23.27
-17.5,-63.5,2023,359,20.75
-17.5,-62.5,2023,359,21.71
-16.5,-63.5,2023,359,20.31
-16.5,-62.5,2023,359,21.65
-18.5,-63.5,2023,360,11.79
-18.5,-62.5,2023,360,11.22
-17.5,-63.5,2023,360,11.07
-17.5,-62.5,2023,360,10.54
-16.5,-63.5,2023,360,9.52
-16.5,-62.5,2023,360,6.85
-18.5,-63.5,2023,361,25.21
-18.5,-62.5,2023,361,23.6
-17.5,-63.5,2023,361,25.46
-17.5,-62.5,2023,361,23.49
-16.5,-63.5,2023,361,25.87
-16.5,-62.5,2023,361,24.35
-18.5,-63.5,2023,362,29.22
-18.5,-62.5,2023,362,27.55
-17.5,-63.5,2023,362,26.05
-17.5,-62.5,2023,362,27.46
-16.5,-63.5,2023,362,26.5
-16.5,-62.5,2023,362,27.6
-18.5,-63.5,2023,363,26.78
-18.5,-62.5,2023,363,25.82
-17.5,-63.5,2023,363,23.93
-17.5,-62.5,2023,363,23.52
-16.5,-63.5,2023,363,22.91
-16.5,-62.5,2023,363,23.8
-18.5,-63.5,2023,364,13.78
-18.5,-62.5,2023,364,11.42
-17.5,-63.5,2023,364,10.9
-17.5,-62.5,2023,364,9.82
-16.5,-63.5,2023,364,9.31
-16.5,-62.5,2023,364,7.66
-18.5,-63.5,2023,365,21.42
-18.5,-62.5,2023,365,22.3
-17.5,-63.5,2023,365,19.9
-17.5,-62.5,2023,365,20.93
-16.5,-63.5,2023,365,18.92
-16.5,-62.5,2023,365,20.88
-18.5,-63.5,2024,1,25.6
-18.5,-62.5,2024,1,22.9
-17.5,-63.5,2024,1,22.61
-17.5,-62.5,2024,1,20.21
-16.5,-63.5,2024,1,21.08
-16.5,-62.5,2024,1,22.89
-18.5,-63.5,2024,2,13.57
-18.5,-62.5,2024,2,15.62
-17.5,-63.5,2024,2,17.63
-17.5,-62.5,2024,2,17.1
-16.5,-63.5,2024,2,19.96
-16.5,-62.5,2024,2,20.88
-18.5,-63.5,2024,3,18.83
-18.5,-62.5,2024,3,17.66
-17.5,-63.5,2024,3,14.23
-17.5,-62.5,2024,3,13.97
-16.5,-63.5,2024,3,9.66
-16.5,-62.5,2024,3,6.63
-18.5,-63.5,2024,4,26.65
-18.5,-62.5,2024,4,26.93
-17.5,-63.5,2024,4,26.14
-17.5,-62.5,2024,4,26.6
-16.5,-63.5,2024,4,24.43
-16.5,-62.5,2024,4,20.33
-18.5,-63.5,2024,5,27.95
-18.5,-62.5,2024,5,28.06
-17.5,-63.5,2024,5,26.03
-17.5,-62.5,2024,5,24.49
-16.5,-63.5,2024,5,21.33
-16.5,-62.5,2024,5,19.57
-18.5,-63.5,2024,6,30.1
-18.5,-62.5,2024,6,28.58
-17.5,-63.5,2024,6,26.2
-17.5,-62.5,2024,6,26.2
-16.5,-63.5,2024,6,26.65
-16.5,-62.5,2024,6,27.13
-18.5,-63.5,2024,7,30.15
-18.5,-62.5,2024,7,27.33
-17.5,-63.5,2024,7,23.6
-17.5,-62.5,2024,7,23.88
-16.5,-63.5,2024,7,20.11
-16.5,-62.5,2024,7,22.28
-18.5,-63.5,2024,8,23.65
-18.5,-62.5,2024,8,23.29
-17.5,-63.5,2024,8,18.01
-17.5,-62.5,2024,8,22.91
-16.5,-63.5,2024,8,24.8
-16.5,-62.5,2024,8,22.27
