-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-17.5,-63.75,2023,295,23.41
-17.5,-63.125,2023,295,25.01
-17.5,-62.5,2023,295,25.91
-17.0,-63.75,2023,295,25.25
-17.0,-63.125,2023,295,25.92
-17.0,-62.5,2023,295,25.9
-16.5,-63.75,2023,295,25.69
-16.5,-63.125,2023,295,26.07
-16.5,-62.5,2023,295,25.43
-18.5,-63.75,2023,296,18.46
-18.5,-63.125,2023,296,23.6
-18.5,-62.5,2023,296,25.23
-18.0,-63.75,2023,296,19.19
-18.0,-63.125,2023,296,23.77
-18.0,-62.5,2023,296,25.49
-17.5,-63.75,2023,296,23.08
-17.5,-63.125,2023,296,24.74
-17.5,-62.5,2023,296,25.62
-17.0,-63.75,2023,296,25.0
-17.0,-63.125,2023,296,25.45
-17.0,-62.5,2023,296,25.67
-16.5,-63.75,2023,296,25.38
-16.5,-63.125,2023,296,25.64
-16.5,-62.5,2023,296,25.13
-18.5,-63.75,2023,297,19.48
-18.5,-63.125,2023,297,24.25
-18.5,-62.5,2023,297,25.62
-18.0,-63.75,2023,297,20.63
-18.0,-63.125,2023,297,24.38
-18.0,-62.5,2023,297,25.87
-17.5,-63.75,2023,297,24.25
-17.5,-63.125,2023,297,25.44
-17.5,-62.5,2023,297,26.23
-17.0,-63.75,2023,297,25.68
-17.0,-63.125,2023,297,26.16
-17.0,-62.5,2023,297,26.37
-16.5,-63.75,2023,297,26.1
-16.5,-63.125,2023,297,26.33
-16.5,-62.5,2023,297,25.85
-18.5,-63.75,2023,298,19.68
-18.5,-63.125,2023,298,24.67
-18.5,-62.5,2023,298,25.67
-18.0,-63.75,2023,298,21.16
-18.0,-63.125,2023,298,24.99
-18.0,-62.5,2023,298,25.91
-17.5,-63.75,2023,298,25.15
-17.5,-63.125,2023,298,26.12
-17.5,-62.5,2023,298,26.21
-17.0,-63.75,2023,298,26.49
-17.0,-63.125,2023,298,26.54
-17.0,-62.5,2023,298,26.25
-16.5,-63.75,2023,298,26.78
-16.5,-63.125,2023,298,26.56
-16.5,-62.5,2023,298,25.84
-18.5,-63.75,2023,299,20.39
-18.5,-63.125,2023,299,25.22
-18.5,-62.5,2023,299,25.93
-18.0,-63.75,2023,299,21.32
-18.0,-63.125,2023,299,25.24
-18.0,-62.5,2023,299,25.98
-17.5,-63.75,2023,299,25.0
-17.5,-63.125,2023,299,26.04
-17.5,-62.5,2023,299,26.11
-17.0,-63.75,2023,299,26.53
-17.0,-63.125,2023,299,26.55
-17.0,-62.5,2023,299,26.15
-16.5,-63.75,2023,299,26.77
-16.5,-63.125,2023,299,26.5
-16.5,-62.5,2023,299,25.73
-18.5,-63.75,2023,300,20.87
-18.5,-63.125,2023,300,25.72
-18.5,-62.5,2023,300,26.27
-18.0,-63.75,2023,300,21.67
-18.0,-63.125,2023,300,25.56
-18.0,-62.5,2023,300,26.34
-17.5,-63.75,2023,300,25.43
-17.5,-63.125,2023,300,26.28
-17.5,-62.5,2023,300,26.56
-17.0,-63.75,2023,300,26.84
-17.0,-63.125,2023,300,26.73
-17.0,-62.5,2023,300,26.55
-16.5,-63.75,2023,300,26.88
-16.5,-63.125,2023,300,26.6
-16.5,-62.5,2023,300,25.89
-18.5,-63.75,2023,301,20.53
-18.5,-63.125,2023,301,25.39
-18.5,-62.5,2023,301,26.16
-18.0,-63.75,2023,301,21.32
-18.0,-63.125,2023,301,25.43
-18.0,-62.5,2023,301,26.32
-17.5,-63.75,2023,301,25.2
-17.5,-63.125,2023,301,26.2
-17.5,-62.5,2023,301,26.35
-17.0,-63.75,2023,301,26.59
-17.0,-63.125,2023,301,26.48
-17.0,-62.5,2023,301,26.27
-16.5,-63.75,2023,301,26.58
-16.5,-63.125,2023,301,26.38
-16.5,-62.5,2023,301,25.74
-18.5,-63.75,2023,302,20.23
-18.5,-63.125,2023,302,25.29
-18.5,-62.5,2023,302,26.05
-18.0,-63.75,2023,302,21.14
-18.0,-63.125,2023,302,25.11
-18.0,-62.5,2023,302,26.12
-17.5,-63.75,2023,302,24.82
-17.5,-63.125,2023,302,25.87
-17.5,-62.5,2023,302,26.18
-17.0,-63.75,2023,302,26.11
-17.0,-63.125,2023,302,26.35
-17.0,-62.5,2023,302,26.06
-16.5,-63.75,2023,302,26.12
-16.5,-63.125,2023,302,26.06
-16.5,-62.5,2023,302,25.52
-18.5,-63.75,2023,303,20.73
-18.5,-63.125,2023,303,25.54
-18.5,-62.5,2023,303,26.15
-18.0,-63.75,2023,303,21.47
-18.0,-63.125,2023,303,25.29
-18.0,-62.5,2023,303,26.17
-17.5,-63.75,2023,303,25.05
-17.5,-63.125,2023,303,25.95
-17.5,-62.5,2023,303,26.19
-17.0,-63.75,2023,303,26.33
-17.0,-63.125,2023,303,26.31
-17.0,-62.5,2023,303,26.04
-16.5,-63.75,2023,303,26.28
-16.5,-63.125,2023,303,26.14
-16.5,-62.5,2023,303,25.48
-18.5,-63.75,2023,304,18.83
-18.5,-63.125,2023,304,23.07
