-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-16.5,-62.5,2023,354,10.64
-18.5,-63.5,2023,355,8.5
-18.5,-62.5,2023,355,9.91
-17.5,-63.5,2023,355,8.93
-17.5,-62.5,2023,355,8.53
-16.5,-63.5,2023,355,8.14
-16.5,-62.5,2023,355,6.99
-18.5,-63.5,2023,356,11.02
-18.5,-62.5,2023,356,11.39
-17.5,-63.5,2023,356,10.32
-17.5,-62.5,2023,356,9.96
-16.5,-63.5,2023,356,9.78
-16.5,-62.5,2023,356,9.64
-18.5,-63.5,2023,357,10.82
-18.5,-62.5,2023,357,11.01
-17.5,-63.5,2023,357,9.24
-17.5,-62.5,2023,357,10.05
-16.5,-63.5,2023,357,8.63
-16.5,-62.5,2023,357,9.27
-18.5,-63.5,2023,358,13.25
-18.5,-62.5,2023,358,12.21
-17.5,-63.5,2023,358,9.73
-17.5,-62.5,2023,358,10.51
-16.5,-63.5,2023,358,9.21
-16.5,-62.5,2023,358,9.84
-18.5,-63.5,2023,359,11.36
-18.5,-62.5,2023,359,11.07
-17.5,-63.5,2023,359,9.7
-17.5,-62.5,2023,359,10.15
-16.5,-63.5,2023,359,9.56
-16.5,-62.5,2023,359,10.18
-18.5,-63.5,2023,360,5.52
-18.5,-62.5,2023,360,5.75
-17.5,-63.5,2023,360,5.22
-17.5,-62.5,2023,360,5.08
-16.5,-63.5,2023,360,4.61
-16.5,-62.5,2023,360,3.45
-18.5,-63.5,2023,361,11.7
-18.5,-62.5,2023,361,11.35
-17.5,-63.5,2023,361,11.97
-17.5,-62.5,2023,361,11.09
-16.5,-63.5,2023,361,12.2
-16.5,-62.5,2023,361,11.47
-18.5,-63.5,2023,362,13.5
-18.5,-62.5,2023,362,13.06
-17.5,-63.5,2023,362,12.2
-17.5,-62.5,2023,362,12.9
-16.5,-63.5,2023,362,12.48
-16.5,-62.5,2023,362,12.93
-18.5,-63.5,2023,363,12.43
-18.5,-62.5,2023,363,12.23
-17.5,-63.5,2023,363,11.18
-17.5,-62.5,2023,363,11.04
-16.5,-63.5,2023,363,10.75
-16.5,-62.5,2023,363,11.15
-18.5,-63.5,2023,364,6.45
-18.5,-62.5,2023,364,5.84
-17.5,-63.5,2023,364,5.25
-17.5,-62.5,2023,364,4.78
-16.5,-63.5,2023,364,4.57
-16.5,-62.5,2023,364,3.8
-18.5,-63.5,2023,365,10.1
-18.5,-62.5,2023,365,10.82
-17.5,-63.5,2023,365,9.45
-17.5,-62.5,2023,365,10.01
-16.5,-63.5,2023,365,9.06
-16.5,-62.5,2023,365,9.96
-18.5,-63.5,2024,1,11.9
-18.5,-62.5,2024,1,11.07
-17.5,-63.5,2024,1,10.72
-17.5,-62.5,2024,1,9.59
-16.5,-63.5,2024,1,10.05
-16.5,-62.5,2024,1,10.89
-18.5,-63.5,2024,2,6.48
-18.5,-62.5,2024,2,7.83
-17.5,-63.5,2024,2,8.39
-17.5,-62.5,2024,2,8.13
-16.5,-63.5,2024,2,9.51
-16.5,-62.5,2024,2,9.9
-18.5,-63.5,2024,3,8.77
-18.5,-62.5,2024,3,8.74
-17.5,-63.5,2024,3,6.76
-17.5,-62.5,2024,3,6.74
-16.5,-63.5,2024,3,4.76
-16.5,-62.5,2024,3,3.36
-18.5,-63.5,2024,4,12.34
-18.5,-62.5,2024,4,12.74
-17.5,-63.5,2024,4,12.31
-17.5,-62.5,2024,4,12.55
-16.5,-63.5,2024,4,11.54
-16.5,-62.5,2024,4,9.66
-18.5,-63.5,2024,5,12.87
-18.5,-62.5,2024,5,13.25
-17.5,-63.5,2024,5,12.25
-17.5,-62.5,2024,5,11.59
-16.5,-63.5,2024,5,10.13
-16.5,-62.5,2024,5,9.31
-18.5,-63.5,2024,6,13.88
-18.5,-62.5,2024,6,13.52
-17.5,-63.5,2024,6,12.34
-17.5,-62.5,2024,6,12.38
-16.5,-63.5,2024,6,12.59
-16.5,-62.5,2024,6,12.81
-18.5,-63.5,2024,7,13.75
-18.5,-62.5,2024,7,12.89
-17.5,-63.5,2024,7,11.06
-17.5,-62.5,2024,7,11.27
-16.5,-63.5,2024,7,9.55
-16.5,-62.5,2024,7,10.58
-18.5,-63.5,2024,8,10.98
-18.5,-62.5,2024,8,11.22
-17.5,-63.5,2024,8,8.53
-17.5,-62.5,2024,8,10.82
-16.5,-63.5,2024,8,11.71
-16.5,-62.5,2024,8,10.54
-18.5,-63.5,2024,9,13.48
-18.5,-62.5,2024,9,13.22
-17.5,-63.5,2024,9,11.14
-17.5,-62.5,2024,9,11.71
-16.5,-63.5,2024,9,11.51
-16.5,-62.5,2024,9,12.13
-18.5,-63.5,2024,10,12.91
-18.5,-62.5,2024,10,12.47
